Job_Title,Company,Location,Salary,Apply_Link
Jr. Business Analyst,Xomic Infotech Private Limited,Ahmedabad,"₹ 3,00,000 - 3,50,000",https://internshala.com/job/detail/jr-business-analyst-job-in-ahmedabad-at-xomic-infotech-private-limited1751329974
Full Stack Developer,Official Page,Delhi,"₹ 2,70,000 - 8,00,000",https://internshala.com/job/detail/full-stack-developer-job-in-multiple-locations-at-official-page1750071257
Fullstack Developer (NestJS + Next.js + Node.js + MongoDB),SeekHelpers,Work from home,"₹ 2,60,000 - 4,00,000",https://internshala.com/job/detail/remote-fullstack-developer-nestjs-nextjs-nodejs-mongodb-job-at-seekhelpers1750509934
MERN Stack Developer,ZustPe Payments Private Limited,Chennai,"₹ 2,52,000 - 3,00,000",https://internshala.com/job/detail/fresher-mern-stack-developer-job-in-chennai-at-zustpe-payments-private-limited1749654071
Full Stack Developer,Nasya Software Technologies Private Limited,Work from home,"₹ 2,50,000 - 4,50,000",https://internshala.com/job/detail/remote-full-stack-developer-job-at-nasya-software-technologies-private-limited1749836830
Full Stack Developer,Silfra Technologies,Pune,"₹ 2,50,000 - 4,00,000",https://internshala.com/job/detail/full-stack-developer-job-in-multiple-locations-at-silfra-technologies1750068369
System Network Administrator,Xomic Infotech Private Limited,Ahmedabad,"₹ 2,50,000 - 3,00,000",https://internshala.com/job/detail/system-network-administrator-job-in-ahmedabad-at-xomic-infotech-private-limited1750811727
Laravel Developer,NCode Technologies Inc.,Ahmedabad,"₹ 2,40,000 - 5,40,000",https://internshala.com/job/detail/laravel-developer-job-in-ahmedabad-at-ncode-technologies-inc1750379576
Laravel Developer,NCode Technologies Inc.,Ahmedabad,"₹ 2,40,000 - 5,40,000",https://internshala.com/job/detail/laravel-developer-job-in-ahmedabad-at-ncode-technologies-inc1749103463
Full Stack Developer,I- Sourcing Technologies Private Limited (Tender247),Ahmedabad,"₹ 2,40,000 - 4,20,000",https://internshala.com/job/detail/full-stack-developer-job-in-ahmedabad-at-i-sourcing-technologies-private-limited-tender2471749198368
Full Stack Developer,Jasya Consultancy Private Limited,Ahmedabad,"₹ 2,40,000 - 4,20,000",https://internshala.com/job/detail/full-stack-developer-job-in-multiple-locations-at-jasya-consultancy-private-limited1749180442
MERN Stack Developer,Joiningends Technologies Pvt Ltd,Kolkata,"₹ 2,40,000 - 3,60,000",https://internshala.com/job/detail/mern-stack-developer-job-in-kolkata-at-joiningends-technologies-pvt-ltd1749640031
Management Information System Executive,Aertrip,Delhi,"₹ 2,40,000 - 3,60,000",https://internshala.com/job/detail/management-information-system-executive-job-in-delhi-at-aertrip1751070649
Human Resources Executive,HRingZa Solutions,Rajkot,"₹ 2,40,000 - 3,00,000",https://internshala.com/job/detail/human-resources-executive-job-in-rajkot-at-hringza-solutions1749103512
